tanggal,kecamatan,tps_id,area_type,volume_ton,tahun,bulan,kuartal,area_enc,kecamatan_enc,tps_id_enc,vol_lag1,vol_lag3,vol_ma3
2017-04-01,Andir,TPS_ANDI_1,metropolitan,543.89,2017,4,2,2,0,0,559.04,603.38,551.4599999999999
2017-05-01,Andir,TPS_ANDI_1,metropolitan,605.59,2017,5,2,2,0,0,543.89,551.45,569.5066666666667
2017-06-01,Andir,TPS_ANDI_1,metropolitan,615.5,2017,6,2,2,0,0,605.59,559.04,588.3266666666667
2017-07-01,Andir,TPS_ANDI_1,metropolitan,499.86,2017,7,3,2,0,0,615.5,543.89,573.65
2017-08-01,Andir,TPS_ANDI_1,metropolitan,527.08,2017,8,3,2,0,0,499.86,605.59,547.48
2017-09-01,Andir,TPS_ANDI_1,metropolitan,457.27,2017,9,3,2,0,0,527.08,615.5,494.7366666666667
2017-10-01,Andir,TPS_ANDI_1,metropolitan,557.89,2017,10,4,2,0,0,457.27,499.86,514.08
2017-11-01,Andir,TPS_ANDI_1,metropolitan,515.81,2017,11,4,2,0,0,557.89,527.08,510.32333333333327
2017-12-01,Andir,TPS_ANDI_1,metropolitan,560.46,2017,12,4,2,0,0,515.81,457.27,544.7199999999999
2018-01-01,Andir,TPS_ANDI_1,metropolitan,629.96,2018,1,1,2,0,0,560.46,557.89,568.7433333333333
2018-02-01,Andir,TPS_ANDI_1,metropolitan,593.7,2018,2,1,2,0,0,629.96,515.81,594.7066666666668
2018-03-01,Andir,TPS_ANDI_1,metropolitan,546.13,2018,3,1,2,0,0,593.7,560.46,589.9300000000001
2018-04-01,Andir,TPS_ANDI_1,metropolitan,603.74,2018,4,2,2,0,0,546.13,629.96,581.1899999999999
2018-05-01,Andir,TPS_ANDI_1,metropolitan,655.84,2018,5,2,2,0,0,603.74,593.7,601.9033333333333
2018-06-01,Andir,TPS_ANDI_1,metropolitan,608.69,2018,6,2,2,0,0,655.84,546.13,622.7566666666667
2018-07-01,Andir,TPS_ANDI_1,metropolitan,517.97,2018,7,3,2,0,0,608.69,603.74,594.1666666666666
